"election_cycle","report_date","region","elections","keyword","spend_usd"
"US-Federal-2018",2019-12-02,"US","US-Federal","elizabeth warren",1491100
"US-Federal-2018",2019-11-25,"US","US-Federal","elizabeth warren",1479900
"US-Federal-2018",2019-11-20,"US","US-Federal","elizabeth warren",1469600
"US-Federal-2018",2019-11-18,"US","US-Federal","elizabeth warren",1466600
"US-Federal-2018",2019-11-11,"US","US-Federal","elizabeth warren",1452300
"US-Federal-2018",2019-11-04,"US","US-Federal","elizabeth warren",1430200
"US-Federal-2018",2019-10-28,"US","US-Federal","elizabeth warren",1408200
"US-Federal-2018",2019-10-21,"US","US-Federal","elizabeth warren",1385600
"US-Federal-2018",2019-10-14,"US","US-Federal","elizabeth warren",1337200
"US-Federal-2018",2019-10-07,"US","US-Federal","elizabeth warren",1284900
"US-Federal-2018",2019-09-30,"US","US-Federal","elizabeth warren",1243600
"US-Federal-2018",2019-09-23,"US","US-Federal","elizabeth warren",1210900
"US-Federal-2018",2019-09-16,"US","US-Federal","elizabeth warren",1160700
"US-Federal-2018",2019-09-02,"US","US-Federal","elizabeth warren",1026700
"US-Federal-2018",2019-08-26,"US","US-Federal","elizabeth warren",979600
"US-Federal-2018",2019-08-19,"US","US-Federal","elizabeth warren",928700
"US-Federal-2018",2019-08-12,"US","US-Federal","elizabeth warren",869600
"US-Federal-2018",2019-08-05,"US","US-Federal","elizabeth warren",828200
"US-Federal-2018",2019-07-29,"US","US-Federal","elizabeth warren",745000
"US-Federal-2018",2019-07-22,"US","US-Federal","elizabeth warren",726100
"US-Federal-2018",2019-07-15,"US","US-Federal","elizabeth warren",704600
"US-Federal-2018",2019-07-08,"US","US-Federal","elizabeth warren",679800
"US-Federal-2018",2019-07-01,"US","US-Federal","elizabeth warren",658200
"US-Federal-2018",2019-06-24,"US","US-Federal","beto o rourke",639200
"US-Federal-2018",2019-06-17,"US","US-Federal","beto o rourke",639100
"US-Federal-2018",2019-06-10,"US","US-Federal","beto o rourke",639100
"US-Federal-2018",2019-06-03,"US","US-Federal","beto o rourke",639000
"US-Federal-2018",2019-05-27,"US","US-Federal","beto o rourke",637800
"US-Federal-2018",2019-05-20,"US","US-Federal","beto o rourke",635300
"US-Federal-2018",2019-05-13,"US","US-Federal","beto o rourke",632100
"US-Federal-2018",2019-05-06,"US","US-Federal","beto o rourke",630800
"US-Federal-2018",2019-04-29,"US","US-Federal","beto o rourke",629600
"US-Federal-2018",2019-04-22,"US","US-Federal","beto o rourke",627800
"US-Federal-2018",2019-04-15,"US","US-Federal","beto o rourke",626600
"US-Federal-2018",2019-04-08,"US","US-Federal","beto o rourke",625000
"US-Federal-2018",2019-04-01,"US","US-Federal","beto o rourke",622600
"US-Federal-2018",2019-03-25,"US","US-Federal","beto o rourke",620400
"US-Federal-2018",2019-03-24,"US","US-Federal","beto o rourke",614700
"US-Federal-2018",2019-03-18,"US","US-Federal","beto o rourke",559600
"US-Federal-2018",2019-03-11,"US","US-Federal","beto o rourke",496400
"US-Federal-2018",2019-02-24,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-02-18,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-02-11,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-02-04,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-01-28,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-01-21,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-01-14,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2019-01-07,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2018-12-10,"US","US-Federal","beto o rourke",490200
"US-Federal-2018",2018-12-03,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2018-11-26,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2018-11-19,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2018-11-12,"US","US-Federal","beto o rourke",494600
"US-Federal-2018",2018-11-05,"US","US-Federal","beto o rourke",490400
"US-Federal-2018",2018-10-29,"US","US-Federal","beto o rourke",464600
"US-Federal-2018",2018-10-22,"US","US-Federal","beto o rourke",390900
"US-Federal-2018",2018-10-15,"US","US-Federal","beto o rourke",330700
"US-Federal-2018",2018-10-09,"US","US-Federal","beto o rourke",287300
"US-Federal-2018",2018-10-01,"US","US-Federal","beto o rourke",232000
"US-Federal-2018",2018-09-24,"US","US-Federal","beto o rourke",199300
"US-Federal-2018",2018-09-17,"US","US-Federal","beto o rourke",165500
"US-Federal-2018",2018-09-10,"US","US-Federal","ron desantis",108900
"US-Federal-2018",2018-09-03,"US","US-Federal","ron desantis",108400
"US-Federal-2018",2018-08-27,"US","US-Federal","ron desantis",95800
"US-Federal-2018",2018-08-13,"US","US-Federal","aclu",37500
"US-Federal-2018",2019-12-02,"US","US-Federal","pete buttigieg",1491100
"US-Federal-2018",2019-11-25,"US","US-Federal","pete buttigieg",1479900
"US-Federal-2018",2019-11-20,"US","US-Federal","pete buttigieg",1469600
"US-Federal-2018",2019-11-18,"US","US-Federal","pete buttigieg",1466600
"US-Federal-2018",2019-11-11,"US","US-Federal","pete buttigieg",1452300
"US-Federal-2018",2019-11-04,"US","US-Federal","pete buttigieg",1430200
"US-Federal-2018",2019-10-28,"US","US-Federal","pete buttigieg",1408200
"US-Federal-2018",2019-10-21,"US","US-Federal","pete buttigieg",1385600
"US-Federal-2018",2019-10-14,"US","US-Federal","pete buttigieg",1337200
"US-Federal-2018",2019-10-07,"US","US-Federal","pete buttigieg",1284900
"US-Federal-2018",2019-09-30,"US","US-Federal","pete buttigieg",1243600
"US-Federal-2018",2019-09-23,"US","US-Federal","pete buttigieg",1210900
"US-Federal-2018",2019-09-16,"US","US-Federal","pete buttigieg",1160700
"US-Federal-2018",2019-09-02,"US","US-Federal","kamala harris",1026700
"US-Federal-2018",2019-08-26,"US","US-Federal","kamala harris",979600
"US-Federal-2018",2019-08-19,"US","US-Federal","kamala harris",928700
"US-Federal-2018",2019-08-12,"US","US-Federal","kamala harris",869600
"US-Federal-2018",2019-08-05,"US","US-Federal","kamala harris",828200
"US-Federal-2018",2019-07-29,"US","US-Federal","pete buttigieg",745000
"US-Federal-2018",2019-07-22,"US","US-Federal","beto o rourke",726100
"US-Federal-2018",2019-07-15,"US","US-Federal","beto o rourke",704600
"US-Federal-2018",2019-07-08,"US","US-Federal","beto o rourke",679800
"US-Federal-2018",2019-07-01,"US","US-Federal","beto o rourke",658200
"US-Federal-2018",2019-06-24,"US","US-Federal","elizabeth warren",639200
"US-Federal-2018",2019-06-17,"US","US-Federal","elizabeth warren",639100
"US-Federal-2018",2019-06-10,"US","US-Federal","elizabeth warren",639100
"US-Federal-2018",2019-06-03,"US","US-Federal","elizabeth warren",639000
"US-Federal-2018",2019-05-27,"US","US-Federal","elizabeth warren",637800
"US-Federal-2018",2019-05-20,"US","US-Federal","elizabeth warren",635300
"US-Federal-2018",2019-05-13,"US","US-Federal","elizabeth warren",632100
"US-Federal-2018",2019-05-06,"US","US-Federal","elizabeth warren",630800
"US-Federal-2018",2019-04-29,"US","US-Federal","elizabeth warren",629600
"US-Federal-2018",2019-04-22,"US","US-Federal","elizabeth warren",627800
"US-Federal-2018",2019-04-15,"US","US-Federal","elizabeth warren",626600
"US-Federal-2018",2019-04-08,"US","US-Federal","elizabeth warren",625000
"US-Federal-2018",2019-04-01,"US","US-Federal","elizabeth warren",622600
"US-Federal-2018",2019-03-25,"US","US-Federal","elizabeth warren",620400
"US-Federal-2018",2019-03-24,"US","US-Federal","elizabeth warren",614700
"US-Federal-2018",2019-03-18,"US","US-Federal","rick scott",559600
"US-Federal-2018",2019-03-11,"US","US-Federal","rick scott",496400
"US-Federal-2018",2019-02-24,"US","US-Federal","rick scott",494600
"US-Federal-2018",2019-02-18,"US","US-Federal","rick scott",494600
"US-Federal-2018",2019-02-11,"US","US-Federal","rick scott",494600
"US-Federal-2018",2019-02-04,"US","US-Federal","rick scott",494600
"US-Federal-2018",2019-01-28,"US","US-Federal","rick scott",494600
